site,nickname,gender,age,lat,long,date_report,est_d_death,date_visit,age_days,transect,species,distance_m,browsed,notes,year_sampled,unique_id,y_obs,section,age_class,cause_death,soil_type,type,region,average_rainfall_mm,dist2road,dist2river,dist2aw,mass_bones,pellets_dung,elephant_dung,pat_dung,zebra_dung,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_precip_16_25,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,average_temp_16_24,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,ele_density_2017_buf,hyena_density_2015_idw
B_2022_33,Msinya,Male,Sub Adult,-23.06978,30.91227,2023-Apr-04,4/9/2022,8/10/2023,488,S,Colophospermum_mopane,13.7,0,dng,2023,B_2022_33_2023,2022,Shangoni,sub-adult,Poached,Granite,carcass,North,371.9511807,1089.562752,2585.275391,6672.101074,122.84,NA,1.04,NA,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.353323974,0.354058543
B_2022_37,Nhlanganini,Male,Adult,-23.86798,31.54196,2022-May-04,4/28/2022,8/17/2023,476,S,Colophospermum_mopane,13.7,10,dng,2023,B_2022_37_2023,2022,Letaba,adult,Natural,Basalt,carcass,Central,366.0817611,139.2737201,4837.447266,8105.197266,35.36,NA,2.87,NA,NA,411.3091843,464.5164974,457.9195652,416.4311916,23.40909091,23.73181818,24.00454545,23.71111111,34.8,34,dry,1.00585924,0.374042789
B_2022_62,Vutivi,Male,Adult,-23.00228,31.47349,2022-Jul-16,7/9/2022,8/14/2023,401,E,Colophospermum_mopane,13.7,2,NA,2023,B_2022_62_2023,2022,Shingwedzi,adult,Natural,Basalt,carcass,North,443.7607428,1763.247907,9244.009766,2769.776611,64.98,NA,5.6,NA,NA,416.4666531,317.2903442,317.9373112,369.3038834,23.3,23.95909091,23.95909091,23.73787879,34.4,34.5,dry,0.194169031,0.256203977
B_2022_31,Bububu,Male,Adult,-23.07579,30.91659,2023-Apr-05,4/10/2022,8/10/2023,487,NW,Colophospermum_mopane,13.6,8,NA,2023,B_2022_31_2023,2022,Shangoni,adult,Poached,Granite,carcass,North,379.1720883,1199.898649,2460.64209,6797.304199,39.75,NA,2.55,0.05,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.073211274,0.351075808
B_2022_61,Mopane,Male,Adult,-23.12896,31.43464,2022-Jul-07,7/7/2022,8/9/2023,398,N,Colophospermum_mopane,13.6,7,dng,2023,B_2022_61_2023,2022,Shingwedzi,adult,DCA,Basalt,carcass,North,384.6655571,524.4575113,1548.173096,2296.010254,25.69,0.01,0.55,NA,NA,400.0614641,348.7654159,349.3315204,373.3621478,23.18636364,23.85909091,23.85909091,23.62474747,34.4,35,dry,2.247267796,0.208349568
B_2022_33,Msinya,Male,Sub Adult,-23.06978,30.91227,2023-Apr-04,4/9/2022,8/10/2023,488,NW,Colophospermum_mopane,13.6,4,dng,2023,B_2022_33_2023,2022,Shangoni,sub-adult,Poached,Granite,carcass,North,371.9511807,1089.562752,2585.275391,6672.101074,122.84,NA,1.04,NA,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.353323974,0.354058543
B_2023_32,Phugwane,Female,Adult,-23.05046,31.26916,2023-Apr-19,4/19/2023,8/9/2023,112,E,Colophospermum_mopane,13.6,10,dng,2023,B_2023_32_2023,2023,Shingwedzi,adult,Management,Granite,carcass,North,409.5510445,1374.971616,2226.422852,6070.612793,5.62,NA,7.27,NA,NA,415.0487573,206.4700146,407.1239786,433.9890018,23.55,23.85909091,23.93181818,23.65858586,34.8,34.8,dry,0.770309925,0.387662149
B_2022_30,Airport,Male,Adult,-24.970945,31.619322,2022-Apr-15,4/15/2022,7/20/2023,461,SW,Grewia_bicolor,13.5,5,NA,2023,B_2022_30_2023,2022,Skukuza,adult,DCA,Granite,carcass,South,475.9185388,632.8392603,1640.893921,4457.464355,0.13,0.46,NA,NA,NA,578.2764215,709.1182847,695.2746511,554.5272274,21.95,22.24090909,22.50454545,22.31717172,32.1,31.7,dry,1.228676161,1.091078465
B_2023_8,Daga,Female,Adult,-23.03274,31.36065,2023-Jan-20,1/17/2023,8/8/2023,203,N,Salvadora_australis,13.5,4,dng,2023,B_2023_8_2023,2023,Vlakteplaas,adult,Natural,Basalt,carcass,North,392.7141317,396.9509186,3050.477783,2479.92749,19.23,0.08,48.47,0.09,NA,289.6736453,270.1842053,346.3965981,377.6306918,23.95454545,23.96363636,24.17272727,23.92121212,35.5,35.5,late_wet,0.958112757,0.120617115
B_2023_8,Daga,Female,Adult,-23.03274,31.36065,2023-Jan-20,1/17/2023,8/8/2023,203,S,Salvadora_australis,13.5,5,dng,2023,B_2023_8_2023,2023,Vlakteplaas,adult,Natural,Basalt,carcass,North,392.7141317,396.9509186,3050.477783,2479.92749,19.23,0.08,48.47,0.09,NA,289.6736453,270.1842053,346.3965981,377.6306918,23.95454545,23.96363636,24.17272727,23.92121212,35.5,35.5,late_wet,0.958112757,0.120617115
